event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
ATVI_2019_CODMOBILE_LAUNCH;2019-10-01;2019-10-01;ATVI;Activision;TiMi Studios;0;Call of Duty: Mobile;Call of Duty;Release;Positive;Medium;94.15746307373048;-0.0109383041721623;-0.0122583733729132;-0.0011981078633082;0.0052784627591078;-0.0139785491582256;-0.012632944686892099;-0.017333209409444498;-0.017333209409444498;Low
ATVI_2019_CODMW_RELEASE;2019-10-25;2019-10-25;ATVI;Activision;Infinity Ward;0;Call of Duty: Modern Warfare;Call of Duty;Release;Positive;High;93.729248046875;0.0034382393143612;0.0040727005061091;-0.0003175700263026;0.0005263373248013;-0.0023284195844124;-0.0003175700263026;-0.0010628278304532;-0.003259390266234001;Low
ATVI_2020_WARCRAFT3_REFORGED;2020-01-28;2020-01-28;ATVI;Activision Blizzard;Blizzard;0;Warcraft III: Reforged;Warcraft;Controversy;Negative;Medium;108.9014892578125;0.0121200393646545;0.010053584595046;0.003421625143788;0.0033708232921538;-0.0247045385750476;0.0065181762587858;-0.020621135618224103;-0.020621135618224103;Low
ATVI_2020_WARZONE_LAUNCH;2020-03-10;2020-03-10;ATVI;Activision;Infinity Ward;0;Call of Duty: Warzone;Call of Duty;Release;Positive;High;100.60978698730467;0.0242739022210303;0.0493963062815614;-0.0169373521279228;0.0015694522806003;-0.0311893503510328;0.0017767420181585003;-0.0347951221852799;-0.0347951221852799;Low
ATVI_2021_LAWSUIT;2021-07-20;2021-07-20;ATVI;Activision Blizzard;;0;;Activision;Controversy;negative;high;137.80715942382812;-0.0012036875039674;0.0151626094378556;-0.0141242017932596;-0.0240795851059845;0.0032372478357301;-0.0238064029836604;-0.0045053388386038;-0.0045053388386038;Medium
ATVI_2021_DIABLO2_RESURRECTED;2021-09-23;2021-09-23;ATVI;Activision Blizzard;Blizzard;0;Diablo II: Resurrected;Diablo;Release;Neutral;Medium;125.08039093017578;0.01178792449621;0.0121347157844948;0.0013696626708165;0.0043916005322548;0.0123240955133799;0.0154886719556293;0.0154886719556293;0.063406773705597;Low
ATVI_2022_MSFT_ACQUISITION_ANN;2022-01-18;2022-01-18;ATVI;Activision Blizzard;Activision Blizzard;0;Corporate;Corporate;Major Announcement;Positive;High;131.14463806152344;0.0266023059536328;-0.0183879456940073;0.0414079831541554;0.0714284180588251;0.1054531634245583;0.0714284180588251;0.1107258015615064;0.1107258015615064;High
ATVI_EARN_2023Q2;2023-07-19;2023-07-19;ATVI;Activision Blizzard;Earnings;0;;;Earnings;;;135.20701599121094;-0.0146181561075217;0.002357910335732;-0.0169568622008067;-0.0114309393652094;-0.0031016584385426;-0.009643784477466;-0.010812121668568899;-0.009428795910213799;Medium
ATVI_EARN_2023Q3;2023-10-04;2023-10-04;ATVI;Activision Blizzard;Earnings;0;;;Earnings;;;119.46773529052734;0.0097866707869267;0.0081097549571607;0.0026946381162838;0.0099362065342946;0.0349577122349713;0.0039619600335791;0.0117730130392758;0.0194298393909983;Low
EA_2017_SWBF2_CONTROVERSY;2017-11-17;2017-11-17;EA;EA;DICE;0;Star Wars Battlefront II;Star Wars;Controversy;Negative;High;105.9040298461914;-0.0249104538107443;-0.0026259630899742;-0.0231304850141793;-0.029217354053615;-0.0568283762769706;-0.0231304850141793;-0.0354186838525347;-0.0439547416200339;Medium
