is_rockstar;sentiment_negative;market_return;franchise_gta;vix_level;vix_30d_mean;impact_label;impact_label_num;impact_high;event_type_marketing;event_type_negative;event_type_release;vix_regime_medium;vix_regime_high
1;0;-0.0200447250836162;1;32.220001220703125;35.4089999516805;high;2;1;1;0;0;0;1
1;0;0.0161046677655145;1;32.7400016784668;34.6376667658488;low;0;0;1;0;0;0;1
1;0;-0.0049870972826125;1;18.32999992370605;20.294999885559083;high;2;1;1;0;0;1;0
1;0;-0.0138520357188847;1;17.920000076293945;16.773000113169353;medium;1;0;1;0;0;1;0
1;1;-0.0025633010773032;1;14.279999732971191;14.985999997456869;medium;1;0;0;1;0;0;0
1;0;0.0042177393276741;1;14.529999732971191;14.710333315531413;high;2;1;0;0;1;0;0
1;0;0.007998543475556;1;15.539999961853027;15.034666697184244;low;0;0;0;0;1;1;0
1;0;-0.0002378235413311;1;15.350000381469728;13.542666689554851;medium;1;0;1;0;0;1;0
1;0;0.0016297588743277;1;13.670000076293944;14.646666622161865;medium;1;0;0;0;1;0;0
1;0;0.0061604033182458;0;15.279999732971191;14.55299997329712;high;2;1;1;0;0;1;0
1;0;-0.0013757239543792;0;13.75;14.676666641235352;low;0;0;1;0;0;0;0
1;1;0.0002983634896507;0;11.8100004196167;11.787666670481364;medium;1;0;0;1;0;0;0
0;0;0.00050387727206;0;10.960000038146973;11.48866672515869;low;0;0;0;0;1;0;0
1;0;-0.0012713605313821;0;10.68000030517578;12.64066670735677;low;0;0;1;0;0;0;0
1;1;0.0051601311497457;0;10.93000030517578;12.163666693369548;high;2;1;0;1;0;0;0
1;0;0.0012046155961591;0;9.550000190734863;11.1396666208903;high;2;1;1;0;0;0;0
0;1;-0.0026259630899742;0;11.43000030517578;10.495666694641113;medium;1;0;0;1;0;0;0
0;1;-0.0026259630899742;0;11.43000030517578;10.495666694641113;medium;1;0;0;0;1;0;0
1;0;-0.0014416744645237;0;11.270000457763672;13.011333401997884;high;2;1;1;0;0;0;0
1;0;-0.0173272640399783;0;24.15999984741211;16.651999791463215;high;2;1;0;0;1;0;1
0;0;0.006776236617404;0;15.729999542236328;21.719333140055337;low;0;0;0;0;1;1;0
0;1;0.0064111023949868;0;13.510000228881836;16.969333299001057;high;2;1;0;0;1;0;0
0;0;-0.0122583733729132;0;18.559999465942383;16.514333216349282;low;0;0;0;0;1;1;0
0;1;0.0142168975854601;0;17.040000915527344;16.7389999071757;low;0;0;0;0;1;1;0
0;1;0.0019204463587332;0;13.710000038146973;15.827999941507976;high;2;1;1;0;0;0;0
0;0;0.0040727005061091;0;12.649999618530272;15.791666603088379;low;0;0;0;0;1;0;0
1;0;0.0015002511791302;0;14.520000457763672;12.96266663869222;medium;1;0;0;0;1;0;0
0;1;0.010053584595046;0;16.280000686645508;13.221666717529297;low;0;0;0;1;0;1;0
0;0;0.0493963062815614;0;47.29999923706055;24.183333110809325;low;0;0;0;0;1;0;1
0;0;-0.0433595123084619;0;66.04000091552734;38.48866678873698;low;0;0;0;0;1;0;1
0;0;0.0090405563857973;0;33.61000061035156;44.66933352152507;medium;1;0;1;0;0;0;1
0;1;;0;33.61000061035156;44.66933352152507;low;0;0;0;1;0;0;1
0;1;-0.0002877151874185;0;24.86000061035156;29.37233320871989;high;2;1;0;0;0;0;1
0;0;-0.001399794593191;0;24.799999237060547;29.308666483561197;high;2;1;0;0;1;0;1
0;0;-0.0020218560598241;0;16.440000534057617;16.937999979654947;low;0;0;1;0;0;1;0
0;1;0.0151626094378556;0;19.729999542236328;17.082333374023438;medium;1;0;0;1;0;0;1
0;0;0.0121347157844948;0;18.6299991607666;18.55966660181681;low;0;0;0;0;1;1;0
0;1;-0.0013986655593032;0;17.90999984741211;16.77300001780192;high;2;1;0;0;1;1;0
0;1;-0.0014410312534549;0;19.399999618530277;21.032000033060708;high;2;1;0;0;0;0;1
0;0;-0.0183879456940073;0;22.790000915527344;19.64633337656657;high;2;1;1;0;0;0;1
1;0;0.0051569298644233;1;23.21999931335449;21.997333335876466;high;2;1;1;0;0;0;1
1;0;0.0214085741708709;1;29.82999992370605;28.07833340962728;high;2;1;0;0;1;0;1
1;0;0.0122565474275304;1;18.899999618530277;27.804333432515463;low;0;0;1;0;0;1;0
0;0;;0;18.899999618530277;27.804333432515463;low;0;0;1;0;0;1;0
1;1;;1;18.899999618530277;27.804333432515463;low;0;0;0;1;0;1;0
0;1;0.0196721399262347;0;30.18000030517578;25.616333198547363;low;0;0;0;1;0;0;1
0;0;-0.0150666957719832;0;31.6200008392334;26.41633326212565;low;0;0;0;0;1;0;1
0;0;0.0047585819088147;0;23.1200008392334;27.450000190734862;high;2;1;0;0;1;0;1
0;0;-0.0015833068345566;0;17.030000686645508;17.74366668065389;medium;1;0;0;0;1;1;0
0;0;-0.006377683373153;0;17.989999771118164;17.67233336766561;medium;1;0;0;0;0;1;0
0;0;0.0081097549571607;0;18.57999992370605;15.554333400726318;low;0;0;0;0;0;1;0
0;0;-0.0013040301597772;0;18.489999771118164;15.63800007502238;medium;1;0;0;0;1;1;0
0;0;0.0028401189192852;0;14.8100004196167;18.191666730244954;high;2;1;0;0;0;1;0
