parameter,model1_baseline,model2_all_trends,model3_ttwo_trends
const,0.005496791886369774,0.004464229791692889,
evt_delay,-0.016741000163734053,-0.016552516616703157,-0.00534954611216287
evt_earnings,-0.003910868035279371,-0.0028254417163723,0.008947853320260225
evt_leak,-0.031264581468937534,-0.028282993251412328,-0.01492246451048568
evt_major announcement,0.016617387340556823,0.017454080034052064,0.03342799604774851
evt_release,-0.013544480888300585,-0.013702299902010518,-0.010325481355226103
evt_trailer/reveal,-0.010518991071330506,-0.01160109703413411,-0.0070671574389470975
is_rockstar,0.00868807633485734,0.00900766465370915,0.004711199951183768
market_return,-0.4785628212854501,-0.467822962096517,-0.9938420395500251
sent_negative,-0.013170864223074437,-0.01221917409485482,-0.0202720106226544
sent_positive,0.0024196468050369977,0.0032024768714970083,0.006779347787138114
trend_gta6_z,,-0.0053857946990360835,-0.00500311105473293
trend_gta_z,,0.0021999131344858404,0.0028578115119756433
trend_gtavi_z,,0.0034736515071513,0.003473606681760664
trend_rockstar_z,,0.005838936592233574,0.00598553380225884
