Name,Year,Publisher,Global_Sales
Grand Theft Auto V,2013.0,Take-Two Interactive,21.4
Grand Theft Auto V,2013.0,Take-Two Interactive,16.38
Pokemon X/Pokemon Y,2013.0,Nintendo,14.35
Call of Duty: Black Ops 3,2015.0,Activision,14.24
Grand Theft Auto V,2014.0,Take-Two Interactive,11.98
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,Nintendo,11.33
Call of Duty: Ghosts,2013.0,Activision,10.21
Call of Duty: Ghosts,2013.0,Activision,9.59
FIFA 16,2015.0,Electronic Arts,8.49
Star Wars Battlefront (2015),2015.0,Electronic Arts,7.67
Call of Duty: Advanced Warfare,2014.0,Activision,7.6
Super Smash Bros. for Wii U and 3DS,2014.0,Nintendo,7.45
Call of Duty: Black Ops 3,2015.0,Activision,7.3
Mario Kart 8,2014.0,Nintendo,6.96
FIFA 14,2013.0,Electronic Arts,6.9
FIFA 15,2014.0,Electronic Arts,6.59
Destiny,2014.0,Activision,5.65
Tomodachi Life,2013.0,Nintendo,5.15
Call of Duty: Advanced Warfare,2014.0,Activision,5.13
Grand Theft Auto V,2014.0,Take-Two Interactive,5.08
Super Smash Bros. for Wii U and 3DS,2014.0,Nintendo,5.02
FIFA 15,2014.0,Electronic Arts,4.82
FIFA 17,2016.0,Electronic Arts,4.77
Luigi's Mansion: Dark Moon,2013.0,Nintendo,4.58
Splatoon,2015.0,Nintendo,4.57
Call of Duty: Advanced Warfare,2014.0,Activision,4.45
FIFA 14,2013.0,Electronic Arts,4.31
Call of Duty: Advanced Warfare,2014.0,Activision,4.31
Super Mario 3D World,2013.0,Nintendo,4.25
Watch Dogs,2014.0,Ubisoft,4.14
Far Cry 4,2014.0,Ubisoft,4.03
Assassin's Creed: Unity,2014.0,Ubisoft,3.92
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,3.89
Monster Hunter 4 Ultimate,2014.0,Nintendo,3.89
NBA 2K16,2015.0,Take-Two Interactive,3.85
Just Dance 2014,2013.0,Ubisoft,3.76
Battlefield 4,2013.0,Electronic Arts,3.69
Call of Duty: Ghosts,2013.0,Activision,3.63
Tom Clancy's The Division,2016.0,Ubisoft,3.61
Battlefield 4,2013.0,Electronic Arts,3.53
Star Wars Battlefront (2015),2015.0,Electronic Arts,3.49
Assassin's Creed: Unity,2014.0,Ubisoft,3.46
Battlefield 4,2013.0,Electronic Arts,3.43
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,3.34
Assassin's Creed Syndicate,2015.0,Ubisoft,3.28
Destiny,2014.0,Activision,3.28
FIFA 16,2015.0,Electronic Arts,3.23
Madden NFL 16,2015.0,Electronic Arts,3.22
Yokai Watch 2 Ganso/Honke,2014.0,Nintendo,3.22
Super Mario Maker,2015.0,Nintendo,3.18
FIFA 15,2014.0,Electronic Arts,3.11
The Legend of Zelda: A Link Between Worlds,2013.0,Nintendo,3.07
Animal Crossing: Happy Home Designer,2015.0,Nintendo,2.98
The Sims 4,2014.0,Electronic Arts,2.97
FIFA 14,2013.0,Electronic Arts,2.9
Titanfall,2014.0,Electronic Arts,2.9
Call of Duty: Ghosts,2013.0,Activision,2.86
FIFA 16,2015.0,Electronic Arts,2.85
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,2.74
NBA 2K14,2013.0,Take-Two Interactive,2.47
Madden NFL 16,2015.0,Electronic Arts,2.4
Need for Speed (2015),2015.0,Electronic Arts,2.39
NBA 2K15,2014.0,Take-Two Interactive,2.38
Skylanders SWAP Force,2013.0,Activision,2.34
The Legend of Zelda: Majora's Mask 3D,2015.0,Nintendo,2.32
NBA 2K16,2015.0,Take-Two Interactive,2.32
Just Dance 2015,2014.0,Ubisoft,2.28
New Super Luigi U,2013.0,Nintendo,2.22
Assassin's Creed IV: Black Flag,2013.0,Ubisoft,2.21
Madden NFL 25,2013.0,Electronic Arts,2.18
Tom Clancy's Rainbow Six: Siege,2015.0,Ubisoft,2.15
FIFA 15,2014.0,Electronic Arts,2.15
Far Cry: Primal,2016.0,Ubisoft,2.13
Battlefield: Hardline,2015.0,Electronic Arts,2.09
Mario & Luigi: Dream Team,2013.0,Nintendo,2.06
NBA 2K14,2013.0,Take-Two Interactive,2.05
Diablo III,2013.0,Activision,2.05
Madden NFL 15,2014.0,Electronic Arts,2.03
Madden NFL 15,2014.0,Electronic Arts,2.02
Tom Clancy's The Division,2016.0,Ubisoft,2.01
Battlefield 4,2013.0,Electronic Arts,1.98
Dragon Age: Inquisition,2014.0,Electronic Arts,1.97
BioShock Infinite,2013.0,Take-Two Interactive,1.96
Destiny,2014.0,Activision,1.95
Watch Dogs,2014.0,Ubisoft,1.93
Destiny: The Taken King,2015.0,Activision,1.91
Need for Speed Rivals,2013.0,Electronic Arts,1.89
Yokai Watch,2013.0,Nintendo,1.89
Donkey Kong Country Returns,2013.0,Nintendo,1.87
Mario Party: Island Tour,2013.0,Nintendo,1.85
Kirby: Triple Deluxe,2014.0,Nintendo,1.82
Call of Duty: Black Ops 3,2015.0,Activision,1.79
The Legend of Zelda: The Wind Waker,2013.0,Nintendo,1.77
Wii Party U,2013.0,Nintendo,1.77
Madden NFL 25,2013.0,Electronic Arts,1.77
BioShock Infinite,2013.0,Take-Two Interactive,1.76
Call of Duty: Black Ops 3,2015.0,Activision,1.76
Diablo III,2014.0,Activision,1.74
Destiny,2014.0,Activision,1.73
Overwatch,2016.0,Activision,1.73
The Crew,2014.0,Ubisoft,1.7
NBA 2K15,2014.0,Take-Two Interactive,1.69
FIFA 16,2015.0,Electronic Arts,1.69
StarCraft II: Heart of the Swarm,2013.0,Activision,1.67
NBA 2K15,2014.0,Take-Two Interactive,1.63
Far Cry 4,2014.0,Ubisoft,1.61
Watch Dogs,2014.0,Ubisoft,1.55
Mario Party 10,2015.0,Nintendo,1.55
Fire Emblem Fates,2015.0,Nintendo,1.54
FIFA 17,2016.0,Electronic Arts,1.53
Donkey Kong Country: Tropical Freeze,2014.0,Nintendo,1.52
Madden NFL 15,2014.0,Electronic Arts,1.51
LEGO City Undercover,2013.0,Nintendo,1.46
Diablo III,2013.0,Activision,1.45
SimCity (2013),2013.0,Electronic Arts,1.44
Far Cry 4,2014.0,Ubisoft,1.44
Need for Speed Rivals,2013.0,Electronic Arts,1.44
Madden NFL 15,2014.0,Electronic Arts,1.41
Battlefield 4,2013.0,Electronic Arts,1.4
Titanfall,2014.0,Electronic Arts,1.38
Assassin's Creed: Rogue,2014.0,Ubisoft,1.37
