event_id;date;publisher;ticker;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;source_url;notes
TTWO_2011_GTA5_ANNOUNCEMENT;25.10.11;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Major Announcement;positive;Medium;https://www.rockstargames.com/newswire/article/19161;Rockstar announces Grand Theft Auto V with first teaser information.
GTAV_2011_TRAILER1;02.11.11;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;https://www.rockstargames.com;GTA V Trailer #1
GTAV_2012_SCREENSHOTS;12.07.12;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;neutral;low;https://www.rockstargames.com;First screenshot batch
GTAV_2012_TRAILER2;14.11.12;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Trailer/Reveal;positive;medium;https://www.rockstargames.com;GTA V Trailer #2
GTAV_2013_DELAY;31.01.13;Take-Two;TTWO;Rockstar;1;GTA V;GTA;Delay;negative;medium;https://www.rockstargames.com;Delay to September 2013
TTWO_2013_GTA5_RELEASE;17.09.13;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Release;positive;high;https://www.rockstargames.com/newswire/article/5128;"GTA V official global release; record-breaking sales in 24 hours."
TTWO_2013_GTAONLINE_LAUNCH;01.10.13;Take-Two;TTWO;Rockstar Games;1;GTA Online;GTA;Release;Positive;Medium;https://www.rockstargames.com/newswire/article/5151;Launch of GTA Online as an online component to GTA V.
TTWO_2014_GTAONLINE_HEISTS;09.12.14;Take-Two;TTWO;Rockstar Games;1;GTA Online;GTA;Major Announcement;Positive;Medium;https://www.rockstargames.com/newswire/article/52249;"GTA Online Heists trailer; major content update anticipation."
TTWO_2015_GTA5_PC_RELEASE;14.04.15;Take-Two;TTWO;Rockstar Games;1;GTA V;GTA;Release;Positive;Medium;https://www.rockstargames.com/newswire/article/52389;PC release of GTA V with enhanced graphics and features.
TTWO_2016_RDR2_ANNOUNCEMENT;18.10.16;Take-Two;TTWO;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Trailer/Reveal;Positive;High;https://www.rockstargames.com/newswire/article/50802;Teaser announcement and first trailer for Red Dead Redemption 2.
RDR2_2016_TRAILER1;20.10.16;Take-Two;TTWO;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;medium;https://www.rockstargames.com;RDR2 Trailer #1
RDR2_2017_DELAY;01.02.17;Take-Two;TTWO;Rockstar;1;RDR2;Red Dead;Delay;negative;medium;https://www.rockstargames.com;Delay to 2018
NTDOY_2017_SWITCH_LAUNCH;03.03.17;Nintendo;NTDOY;Nintendo;0;Nintendo Switch;Switch;Release;Positive;High;https://www.nintendo.com/switch/;Global launch of the Nintendo Switch console.
RDR2_2017_SCREENSHOTS;03.05.17;Take-Two;TTWO;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;neutral;low;https://www.rockstargames.com;New screenshots
TTWO_2017_RDR2_DELAY;22.05.17;Take-Two;TTWO;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Delay;Negative;Medium;https://www.rockstargames.com/newswire/article/60276;Announcement that RDR2 release is delayed into the following year.
RDR2_2017_TRAILER2;28.09.17;Take-Two;TTWO;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;medium;https://www.rockstargames.com;Trailer #2
EA_2017_SWBF2_CONTROVERSY;17.11.17;EA;EA;DICE;0;Star Wars Battlefront II;Star Wars;Controversy;Negative;High;https://www.polygon.com/2017/11/17/swbf2-controversy;Severe backlash due to lootbox monetization and pay-to-win design.
EA_2017_BATTLEFRONT2_RELEASE;17.11.17;Electronic Arts;EA;DICE;0;Battlefront II;Star Wars;Release;negative;high;https://www.ea.com;Battlefront II microtransaction backlash (-10%)
RDR2_2018_GAMEPLAY;09.08.18;Take-Two;TTWO;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;high;https://www.rockstargames.com;Gameplay trailer
TTWO_2018_RDR2_RELEASE;26.10.18;Take-Two;TTWO;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Release;Positive;High;https://www.rockstargames.com/newswire/article/54296;Launch of RDR2 with massive sales expectations.
EA_2019_APEX_LAUNCH;04.02.19;EA;EA;Respawn Entertainment;0;Apex Legends;Apex Legends;Release;Positive;High;https://www.ea.com/games/apex-legends/news;Surprise launch of Apex Legends, free-to-play battle royale with strong early adoption.
EA_2019_ANTHEM_RELEASE;22.02.19;EA;EA;BioWare;0;Anthem;Anthem;Release;Negative;High;https://www.ea.com/games/anthem;Launch of Anthem with significant technical issues and disappointing reception.
ATVI_2019_CODMOBILE_LAUNCH;01.10.19;Activision;ATVI;TiMi Studios;0;Call of Duty: Mobile;Call of Duty;Release;Positive;Medium;https://www.callofduty.com/mobile;Global launch of Call of Duty: Mobile expanding the franchise to mobile.
UBI_2019_GHOSTRECON_BREAKPOINT_LAUNCH;04.10.19;Ubisoft;UBI;Ubisoft Paris;0;Tom Clancy's Ghost Recon Breakpoint;Ghost Recon;Release;Negative;High;https://news.ubisoft.com/;Launch of Breakpoint with weak reception leading to later profit warning (-31%).
UBI_2019_UBI_PROFIT_WARNING;24.10.19;Ubisoft;UBI;Ubisoft;0;Multiple titles;Portfolio;Major Announcement;Negative;High;https://news.ubisoft.com/;Ubisoft issues profit warning and delays several titles after underperformance.
ATVI_2019_CODMW_RELEASE;25.10.19;Activision;ATVI;Infinity Ward;0;Call of Duty: Modern Warfare;Call of Duty;Release;Positive;High;https://www.callofduty.com/mw/news;Major franchise reboot for Call of Duty with strong sales expectations.
TTWO_2020_RDR2_PC_STEAM;05.12.19;Take-Two;TTWO;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Release;Positive;Low;https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/;RDR2 becomes available on Steam for PC players, expanding audience.
ATVI_2020_WARCRAFT3_REFORGED;28.01.20;Activision Blizzard;ATVI;Blizzard;0;Warcraft III: Reforged;Warcraft;Controversy;Negative;Medium;https://news.blizzard.com/;Release of Warcraft III: Reforged with strong community backlash over quality issues.
ATVI_2020_WARZONE_LAUNCH;10.03.20;Activision;ATVI;Infinity Ward;0;Call of Duty: Warzone;Call of Duty;Release;Positive;High;https://www.callofduty.com/warzone;Launch of free-to-play battle royale Warzone with rapid user growth.
NTDOY_2020_ANIMALCROSSING_RELEASE;20.03.20;Nintendo;NTDOY;Nintendo EPD;0;Animal Crossing: New Horizons;Animal Crossing;Release;Positive;High;https://www.nintendo.com/;Release of AC: New Horizons, massive success during early COVID period.
EA_2020_FIFA_ULTIMATETEAM_REVENUE;05.05.20;EA;EA;EA Sports;0;FIFA Ultimate Team;FIFA;Major Announcement;Positive;Medium;https://ir.ea.com/;Earnings call emphasizing record revenue from FIFA Ultimate Team microtransactions.
UBI_2020_SKULLBONES_DELAY;12.07.20;Ubisoft;UBI;Ubisoft Singapore;0;Skull and Bones;Skull and Bones;Delay;negative;medium;https://www.ubisoft.com;Another delay announcement
TTWO_2020_CODEMASTERS_LOSS;06.11.20;Take-Two;TTWO;; ; ;TTWO;Corporate Event;negative;high;https://ir.take2games.com;Lost Codemasters bid to EA (-23%)
UBI_2020_AC_VALHALLA_RELEASE;10.11.20;Ubisoft;UBI;Ubisoft Montreal;0;Assassin's Creed Valhalla;Assassin's Creed;Release;Positive;Medium;https://news.ubisoft.com/;Major Assassin's Creed franchise entry and cross-gen launch title.
NTDOY_2021_SWITCH_OLED_ANN;06.07.21;Nintendo;NTDOY;Nintendo;0;Nintendo Switch OLED;Switch;Major Announcement;Neutral;Medium;https://www.nintendo.com/switch/oled-model/;Announcement of the Switch OLED model with improved screen but no power upgrade.
ATVI_2021_LAWSUIT;20.07.21;Activision Blizzard;ATVI;;0;;Activision;Controversy;negative;high;https://www.bloomberg.com;California lawsuit (-10%)
ATVI_2021_DIABLO2_RESURRECTED;23.09.21;Activision Blizzard;ATVI;Blizzard;0;Diablo II: Resurrected;Diablo;Release;Neutral;Medium;https://news.blizzard.com/;Launch of D2R with mixed expectations and some technical issues.
EA_2021_BF2042_BAD_RELEASE;19.11.21;Electronic Arts;EA;DICE;0;Battlefield 2042;Battlefield;Release;negative;high;https://www.ea.com;Disastrous launch (-6%)
TTWO_2022_ZYNGA_ACQUISITION;10.01.22;Take-Two;TTWO;; ;Zynga;TTWO;Corporate Event;negative;high;https://ir.take2games.com;Announced Zynga acquisition (-27%)
ATVI_2022_MSFT_ACQUISITION_ANN;18.01.22;Activision Blizzard;ATVI;Activision Blizzard;0;Corporate;Corporate;Major Announcement;Positive;High;https://news.microsoft.com/2022/01/18/microsoft-to-acquire-activision-blizzard/;Microsoft announces intention to acquire Activision Blizzard in a major industry deal (-26%).
TTWO_2022_GTA6_DEV-ANNOUNCEMENT;04.02.22;Take-Two;TTWO;Rockstar Games;1;GTA VI;GTA;Major Announcement;Neutral;Low;https://en.wikipedia.org/wiki/Grand_Theft_Auto_VI#:~:text=Following%20years%20of%20speculation%20and,and%20Xbox%20Series%20X/S.;Annoucement of development after leak 
TTWO_2022_GTA5_NEXTGEN;15.03.22;Take-Two;TTWO;Rockstar Games;1;GTA V (PS5/Xbox Series);GTA;Release;Positive;Medium;https://www.rockstargames.com/newswire/article/22887;Next-gen versions of GTA V and GTA Online released for PS5 and Xbox Series.
