date,trend_gta,trend_gta6,trend_gtavi,trend_rockstar,trend_gta_mean
2010-01-03,45.0,24.0,41.0,28.0,36.666666666666664
2010-01-10,95.0,14.0,9.0,27.0,39.333333333333336
2010-01-17,76.5,43.25,24.5,46.0,48.083333333333336
2010-01-24,84.0,48.75,20.25,46.5,51.0
2010-01-31,70.5,64.0,27.5,51.75,54.0
2010-02-07,64.0,54.5,21.5,45.75,46.666666666666664
2010-02-14,67.5,54.0,25.5,33.5,49.0
2010-02-21,56.25,57.75,30.25,36.5,48.083333333333336
2010-02-28,70.0,55.5,31.75,40.5,52.416666666666664
2010-03-07,75.5,61.75,39.5,46.5,58.916666666666664
2010-03-14,59.5,64.25,35.5,59.0,53.083333333333336
2010-03-21,58.75,56.5,35.0,54.75,50.083333333333336
2010-03-28,54.25,51.5,36.25,53.75,47.333333333333336
2010-04-04,44.0,44.25,40.0,47.25,42.75
2010-04-11,48.5,34.0,48.25,47.5,43.583333333333336
2010-04-18,66.25,42.5,46.75,52.25,51.833333333333336
2010-04-25,68.0,50.75,41.5,50.0,53.416666666666664
2010-05-02,68.25,53.25,38.5,54.25,53.333333333333336
2010-05-09,63.5,50.5,39.0,48.25,51.0
2010-05-16,49.25,51.5,35.0,47.5,45.25
2010-05-23,36.75,43.0,40.25,46.0,40.0
2010-05-30,42.75,47.5,39.75,49.25,43.333333333333336
2010-06-06,50.25,57.0,32.5,49.5,46.583333333333336
2010-06-13,64.75,59.0,39.0,52.25,54.25
2010-06-20,66.0,55.75,38.5,52.0,53.416666666666664
2010-06-27,71.75,53.0,30.5,45.0,51.75
2010-07-04,63.25,43.5,33.75,41.5,46.833333333333336
2010-07-11,58.75,34.5,34.75,33.25,42.666666666666664
2010-07-18,65.5,34.0,33.75,39.0,44.416666666666664
2010-07-25,65.25,35.75,39.0,34.0,46.666666666666664
2010-08-01,71.25,50.5,38.5,39.5,53.416666666666664
2010-08-08,73.0,43.75,32.5,47.25,49.75
2010-08-15,81.0,53.75,27.25,37.0,54.0
2010-08-22,63.0,48.75,29.25,43.75,47.0
2010-08-29,62.5,43.5,23.0,35.5,43.0
2010-09-05,52.0,45.5,26.5,29.25,41.333333333333336
2010-09-12,38.5,32.0,25.0,36.0,31.833333333333332
2010-09-19,55.0,41.75,23.75,40.75,40.166666666666664
2010-09-26,52.5,37.0,34.5,43.75,41.333333333333336
2010-10-03,54.75,47.25,36.5,43.75,46.166666666666664
2010-10-10,59.0,55.5,46.0,39.75,53.5
2010-10-17,61.5,44.0,42.25,33.0,49.25
2010-10-24,70.25,44.75,33.25,30.25,49.416666666666664
2010-10-31,79.5,45.75,23.75,40.0,49.666666666666664
2010-11-07,71.5,40.25,21.75,40.25,44.5
2010-11-14,71.75,51.25,30.5,39.0,51.166666666666664
2010-11-21,66.5,57.5,34.0,48.75,52.666666666666664
2010-11-28,68.25,48.0,45.5,40.75,53.916666666666664
2010-12-05,73.5,50.0,41.25,37.0,54.916666666666664
2010-12-12,55.75,35.75,42.0,43.75,44.5
2010-12-19,63.75,22.0,44.0,43.5,43.25
2010-12-26,48.25,17.5,44.5,50.0,36.75
2011-01-02,58.25,17.25,43.0,52.75,39.5
2011-01-09,73.0,22.5,41.5,42.25,45.666666666666664
2011-01-16,58.5,27.75,35.5,41.75,40.583333333333336
2011-01-23,73.0,32.5,30.0,31.0,45.166666666666664
2011-01-30,57.75,43.75,26.0,35.75,42.5
2011-02-06,45.75,46.75,26.0,48.25,39.5
2011-02-13,63.75,46.0,30.5,50.5,46.75
2011-02-20,64.0,53.75,25.0,58.0,47.583333333333336
2011-02-27,62.0,36.75,24.5,49.75,41.083333333333336
2011-03-06,62.0,38.0,14.75,41.75,38.25
2011-03-13,55.25,46.5,15.25,33.5,39.0
2011-03-20,46.5,43.25,24.5,32.5,38.083333333333336
2011-03-27,50.25,44.0,30.0,39.75,41.416666666666664
2011-04-03,52.0,38.5,30.0,45.25,40.166666666666664
2011-04-10,51.0,35.5,24.75,42.75,37.083333333333336
2011-04-17,47.75,32.0,14.25,40.25,31.333333333333332
2011-04-24,58.0,42.0,14.75,35.5,38.25
2011-05-01,52.0,43.5,17.5,37.5,37.666666666666664
2011-05-08,54.75,48.0,25.75,39.5,42.833333333333336
2011-05-15,63.25,46.5,35.75,47.5,48.5
2011-05-22,65.0,45.0,43.0,54.75,51.0
2011-05-29,76.25,41.5,41.25,54.5,53.0
2011-06-05,81.5,29.0,40.5,53.25,50.333333333333336
2011-06-12,72.25,35.25,32.75,43.25,46.75
2011-06-19,60.25,40.75,32.25,42.75,44.416666666666664
2011-06-26,63.25,37.75,34.25,33.5,45.083333333333336
2011-07-03,61.5,37.75,30.75,44.0,43.333333333333336
2011-07-10,57.75,37.25,27.75,46.25,40.916666666666664
2011-07-17,68.25,38.75,16.0,46.25,41.0
2011-07-24,54.75,38.5,20.75,44.5,38.0
2011-07-31,51.25,43.0,23.5,42.75,39.25
