parameter,model1_baseline,model2_all_trends,model3_ttwo_trends
const,0.006029726482074881,0.005171358080695212,
evt_delay,-0.027452990050055564,-0.028193780805725183,-0.01348011124254543
evt_earnings,-0.005752505596385638,-0.004890173013423467,0.007609187569983576
evt_leak,-2.3296152040149236e-15,-2.3439603251033107e-15,5.911700432160619e-16
evt_major announcement,0.016973908730689047,0.01810101074343892,0.03208933029747137
evt_release,-0.017155487340524026,-0.017035744431130206,-0.011664147105502684
evt_trailer/reveal,-0.01558813902300744,-0.017074825002665106,-0.008405823189223746
is_rockstar,0.011558829788865943,0.012163433646467048,0.006148436330175992
market_return,-0.5726474058696824,-0.5548671125968399,-0.9938420395500265
sent_negative,-0.01299524518585778,-0.012270763761567405,-0.013480111242548512
sent_positive,0.0032634042716701847,0.003583837416672505,0.006779347787138252
trend_gta6_z,,-0.005610853057437857,-0.00498479897393069
trend_gta_z,,0.0014392546894619425,0.0028603262004113987
trend_gtavi_z,,0.0039037542813897264,0.003491453695267671
trend_rockstar_z,,0.00548134432082109,0.005851838361067822
